"","Race","Region","EDUC","Gender"
"2488","Asian/Pacific Islander","Northeast","Masters","Female"
"2489","Black","Midwest","Professional","Male"
"2490","White","West","Secondary","Male"
"2491","Other","South","Bachelors","Female"
"2492","Black","Northeast","Secondary","Female"
"2493","White","South","Primary","Male"
"2494","White","Midwest","Secondary","Male"
"2495","Black","South","Secondary","Female"
"2496","White","South","Secondary","Female"
"2497","White","West","Secondary","Male"
"2498","White","West","Masters","Female"
"2499","White","South","Secondary","Female"
"2500","White","South","Professional","Female"
"2501","White","Midwest","Secondary","Male"
"2502","Hispanic","South","Secondary","Male"
"2503","Black","West","Secondary","Male"
"2504","Black","South","Primary","Female"
"2505","White","South","Secondary","Male"
